"competitorname","chocolate","fruity","caramel","peanutyalmondy","nougat","crispedricewafer","hard","bar","pluribus","sugarpercent","pricepercent","winpercent"
"100 Grand",1,0,1,0,0,1,0,1,0,0.73199999,0.86000001,0.6697
"3 Musketeers",1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,0.676
"One dime",0,0,0,0,0,0,0,0,0,0.011,0.116,0.3226
"One quarter",0,0,0,0,0,0,0,0,0,0.011,0.51099998,0.4612
"Air Heads",0,1,0,0,0,0,0,0,0,0.90600002,0.51099998,0.5234
"Almond Joy",1,0,0,1,0,0,0,1,0,0.465,0.76700002,0.5035
"Baby Ruth",1,0,1,1,1,0,0,1,0,0.60399997,0.76700002,0.5691
"Boston Baked Beans",0,0,0,1,0,0,0,0,1,0.31299999,0.51099998,0.2342
"Candy Corn",0,0,0,0,0,0,0,0,1,0.90600002,0.32499999,0.3801
"Caramel Apple Pops",0,1,1,0,0,0,0,0,0,0.60399997,0.32499999,0.3452
"Charleston Chew",1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,0.3898
"Chewey Lemonhead Fruit Mix",0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,0.3602
"Chiclets",0,1,0,0,0,0,0,0,1,0.046,0.32499999,0.2452
"Dots",0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,0.4227
"Dum Dums",0,1,0,0,0,0,1,0,0,0.73199999,0.034000002,0.3946
"Fruit Chews",0,1,0,0,0,0,0,0,1,0.127,0.034000002,0.4309
"Fun Dip",0,1,0,0,0,0,1,0,0,0.73199999,0.32499999,0.3919
"Gobstopper",0,1,0,0,0,0,1,0,1,0.90600002,0.45300001,0.4678
"Haribo Gold Bears",0,1,0,0,0,0,0,0,1,0.465,0.465,0.5712
"Haribo Happy Cola",0,0,0,0,0,0,0,0,1,0.465,0.465,0.3416
"Haribo Sour Bears",0,1,0,0,0,0,0,0,1,0.465,0.465,0.5141
"Haribo Twin Snakes",0,1,0,0,0,0,0,0,1,0.465,0.465,0.4218
"Hershey's Kisses",1,0,0,0,0,0,0,0,1,0.127,0.093000002,0.5538
"Hershey's Krackel",1,0,0,0,0,1,0,1,0,0.43000001,0.91799998,0.6228
"Hershey's Milk Chocolate",1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,0.5649
"Hershey's Special Dark",1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,0.5924
"Jawbusters",0,1,0,0,0,0,1,0,1,0.093000002,0.51099998,0.2813
"Junior Mints",1,0,0,0,0,0,0,0,1,0.197,0.51099998,0.5722
"Kit Kat",1,0,0,0,0,1,0,1,0,0.31299999,0.51099998,0.7677
"Laffy Taffy",0,1,0,0,0,0,0,0,0,0.22,0.116,0.4139
"Lemonhead",0,1,0,0,0,0,1,0,0,0.046,0.104,0.3914
"Lifesavers big ring gummies",0,1,0,0,0,0,0,0,0,0.26699999,0.27900001,0.5291
"Peanut butter M&M's",1,0,0,1,0,0,0,0,1,0.82499999,0.65100002,0.7147
"M&M's",1,0,0,0,0,0,0,0,1,0.82499999,0.65100002,0.6657
"Mike & Ike",0,1,0,0,0,0,0,0,1,0.87199998,0.32499999,0.4641
"Milk Duds",1,0,1,0,0,0,0,0,1,0.30199999,0.51099998,0.5506
"Milky Way",1,0,1,0,1,0,0,1,0,0.60399997,0.65100002,0.731
"Milky Way Midnight",1,0,1,0,1,0,0,1,0,0.73199999,0.44100001,0.608
